SUMMARY
workflow_id,03564a0f-4079-4115-8c4e-488cfad51244
timestamp,2025-12-01T17:15:46.520379Z
num_tasks,7
num_edges,9
optimal_cost,2114.755088
evaluation,"Optimal policy found: U(w,p*) = 2114.755088"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,6796332.0,2
2,2946315.0,2
3,21189390.0,2
4,20358459.0,2
5,22357049.0,2
6,26797844.0,2
7,5150983.0,2

EDGES
u,v,bytes
1,2,1112917.6870594276
1,5,1877794.485798536
6,4,1634742.4129534496
6,5,14218026.883524613
7,4,11784525.956595115
7,5,2389737.430921636
2,3,1411764.3699770346
4,3,749671.075492864
5,3,2753163.517043299
