SUMMARY
workflow_id,08eecb0a-8d72-45a9-a9e7-5c4e5a5fadc8
timestamp,2025-12-01T17:13:07.618911Z
num_tasks,7
num_edges,6
optimal_cost,883.163516
evaluation,"Optimal policy found: U(w,p*) = 883.163516"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,3538964.0,4
2,25797671.0,4
3,31442569.0,4
4,32600098.0,4
5,11105713.0,4
6,16653913.0,4
7,23055518.0,4

EDGES
u,v,bytes
1,2,858284.3622084963
7,4,1605100.031069876
7,2,607716.8654137694
2,3,844551.0594984803
2,6,688593.1650552348
4,5,11158333.489569876
