SUMMARY
workflow_id,25e465d4-3b86-4423-a05b-0e28881f9c1b
timestamp,2025-12-01T21:31:47.085819Z
num_tasks,6
num_edges,6
optimal_cost,1557.655877
evaluation,"Optimal policy found: U(w,p*) = 1557.655877"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,19606231.0,3
2,25585214.0,3
3,20395662.0,3
4,20553965.0,3
5,7545908.0,3
6,2785545.0,3

EDGES
u,v,bytes
1,5,971788.3409343995
1,2,4546056.305462122
6,2,1048137.7861779373
2,4,10776682.378160514
2,3,2447005.7391172363
5,3,12782170.848295148
