SUMMARY
workflow_id,62491da0-e838-4120-bfa3-4ba8bd609604
timestamp,2025-12-01T21:26:40.552344Z
num_tasks,6
num_edges,7
optimal_cost,2607.195375
evaluation,"Optimal policy found: U(w,p*) = 2607.195375"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,34063211.0,2
2,15070647.0,2
3,2134075.0,2
4,24578264.0,2
5,11465894.0,2
6,26077247.0,2

EDGES
u,v,bytes
1,5,14910984.800584009
1,4,928387.5903111049
6,2,6022355.886388289
6,4,1640631.9112859226
2,3,13515984.887019
4,3,10584777.629260166
5,3,1310248.886810223
