SUMMARY
workflow_id,6d7646f0-a881-4290-9100-7926808c3743
timestamp,2025-12-01T21:35:13.630000Z
num_tasks,7
num_edges,7
optimal_cost,1421.746511
evaluation,"Optimal policy found: U(w,p*) = 1421.746511"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,29649934.0,3
2,34514049.0,3
3,25678591.0,3
4,21166881.0,3
5,7252177.0,3
6,11082132.0,3
7,9395933.0,3

EDGES
u,v,bytes
1,5,2943679.8251867853
1,4,1293828.5744978436
7,2,837449.2247863126
7,4,13874411.138218205
2,3,5511047.828267274
4,6,622821.8109292213
5,3,2438195.773819737
