SUMMARY
workflow_id,6d861641-508d-422f-8c78-9672bb3e423e
timestamp,2025-12-01T17:18:19.858103Z
num_tasks,11
num_edges,11
optimal_cost,1990.151372
evaluation,"Optimal policy found: U(w,p*) = 1990.151372"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,21912754.0,1
2,3751650.0,1
3,14367234.0,1
4,26342226.0,1
5,26488116.0,1
6,22430591.0,1
7,9857057.0,1
8,8310451.0,1
9,4546226.0,1
10,26540156.0,1
11,9120808.0,1

EDGES
u,v,bytes
1,2,2557776.0153643778
1,8,5195703.002737563
5,9,1251223.8074992492
7,8,7731639.066399992
10,9,3012110.2338784984
10,8,7849983.713743942
2,11,1439982.0786525821
8,11,697585.3202856784
9,3,2475862.441709981
3,6,6356989.567982127
11,4,2557424.63829548
