SUMMARY
workflow_id,7bdc0b1a-732b-462d-9f73-46ebf8fd026e
timestamp,2025-12-01T21:30:14.219953Z
num_tasks,6
num_edges,7
optimal_cost,1276.562984
evaluation,"Optimal policy found: U(w,p*) = 1276.562984"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,15666904.0,1
2,8391752.0,1
3,20214496.0,1
4,28961596.0,1
5,32610303.0,1
6,24692718.0,1

EDGES
u,v,bytes
1,4,1417403.7785508574
5,2,737741.8393140256
5,4,11251216.234575441
5,6,5351799.777622745
2,3,1552918.3871168597
4,3,1078352.0518509946
6,3,2821667.535904323
