SUMMARY
workflow_id,a01d1cc9-f257-495b-a18f-804e4c1f7845
timestamp,2025-12-01T21:36:58.924322Z
num_tasks,7
num_edges,6
optimal_cost,1708.993418
evaluation,"Optimal policy found: U(w,p*) = 1708.993418"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,32549357.0,4
2,8129944.0,4
3,8223666.0,4
4,1859886.0,4
5,12734654.0,4
6,32150343.0,4
7,5066991.0,4

EDGES
u,v,bytes
1,2,10547080.577231713
4,2,6332354.164471678
7,2,2778859.9816772295
2,3,2513957.964047004
2,5,12428147.059087591
2,6,693290.66398948
