SUMMARY
workflow_id,ed4253f4-fc52-4357-a266-23a3ccf2dbbe
timestamp,2025-12-01T17:07:47.698877Z
num_tasks,11
num_edges,16
optimal_cost,3639.890473
evaluation,"Optimal policy found: U(w,p*) = 3639.890473"

PLACEMENT POLICY
task_id,task_v (if available),assigned_location
1,8687437.0,1
2,20696460.0,1
3,1217789.0,1
4,34593765.0,1
5,18906335.0,1
6,23828789.0,1
7,18675739.0,1
8,30176602.0,1
9,11613787.0,1
10,31448882.0,1
11,8486139.0,1

EDGES
u,v,bytes
1,2,1273068.3407886918
1,9,880126.2250391662
1,10,6203733.86458936
5,2,5053663.778377164
5,10,6239373.9214113355
6,8,1188161.9584333133
11,8,1548150.3658560566
11,9,9806160.617742028
2,3,7747582.812727971
8,7,5959530.0923278015
8,3,8141205.9275349565
9,7,14970451.277941324
10,3,993515.834889631
10,7,1127446.04170309
3,4,2393832.642541692
7,4,3137772.2633138355
